SITE,OLD_RESOURCE_NAME,NEW_RESOURCE_NAME,IS_DELETE,BIW_INS_DTTM,BIW_UPD_DTTM
KRH,8-FS-TRENCH,8TRIGBTFS3,N,2024-05-03,2024-05-03
KRH,8-FS-TRENCH,8TRIGBTFS4,N,2024-05-03,2024-05-03
KRH,8-FS-TRENCH,8TRIGBT-OTHER,N,2024-05-03,2024-05-03
KRH,8-MV-SERIES,8MV5,N,2024-05-03,2024-05-03
KRH,8-MV-SERIES,8MV7,N,2024-05-03,2024-05-03
KRH,8-MV-SERIES,8PT1/2,N,2024-05-03,2024-05-03
KRH,8-PTNG-PT11,8PT11,N,2024-05-03,2024-05-03
KRH,8-PTNG-PT11,8PTNG,N,2024-05-03,2024-05-03
KRH,8-PLANAR,8PLANAR,N,2024-05-03,2024-05-03
KRH,8-PT-PIGBT,8NPTPIGBT,N,2024-05-03,2024-05-03
KRH,8-PT9-SERIES,8PT9,N,2024-05-03,2024-05-03
KRH,8-RECTIFIER,8RECTIFIER,N,2024-05-03,2024-05-03
KRH,8-SUPER-FET,8SUPERFET,N,2024-05-03,2024-05-03
KRH,8-SUPER-FET3,8SUPERFET3,N,2024-05-03,2024-05-03
KRH,8-DMOS,8DMOS,N,2024-05-03,2024-05-03
KRH,8-FS/NPT-PLANAR,8NPTPIGBT,N,2024-05-03,2024-05-03
KRH,8-TRIGBT-FS7,8TRIGBTFS7,N,2024-05-03,2024-05-03